Id,Label,timeset,modularity_class,indegree,outdegree,Degree,componentnumber,strongcompnum,weighted indegree,weighted outdegree,Weighted Degree
STSP_CSIT,STSP_CSIT,,0,0,0,0,0,0,0,0,0
JorgePay1,JorgePay1,,0,0,0,0,0,0,0,0,0
JordiParrondo,JordiParrondo,,0,0,0,0,0,0,0,0,0
carlosgarciam,carlosgarciam,,0,0,0,0,0,0,0,0,0
MadridEuropa,MadridEuropa,,0,1,0,1,0,0,1,0,1
Espacio_EMMA,Espacio_EMMA,,4,2,0,2,0,1,2,0,2
gon_nuclear,gon_nuclear,,0,0,0,0,0,0,0,0,0
InterVinoEs,InterVinoEs,,3,2,0,2,0,2,2,0,2
MalagaJunta,MalagaJunta,,16,0,1,1,0,4,0,1,1
munozsantana,munozsantana,,0,0,0,0,0,0,0,0,0
CIMAcineastas,CIMAcineastas,,9,2,0,2,0,5,2,0,2
yramirezla,yramirezla,,0,0,0,0,0,0,0,0,0
DeleGobCataluna,DeleGobCataluna,,0,0,0,0,0,0,0,0,0
itxifer,itxifer,,0,0,0,0,0,0,0,0,0
CPIIR_CPITIR,CPIIR_CPITIR,,13,0,2,2,0,15,0,2,2
meribenavides,meribenavides,,8,0,2,2,0,20,0,2,2
AnnaGrauGal,AnnaGrauGal,,0,0,0,0,0,0,0,0,0
skyrunner75,skyrunner75,,0,0,0,0,0,0,0,0,0
hgardo,hgardo,,0,0,0,0,0,0,0,0,0
innoeducacion,innoeducacion,,9,3,0,3,0,21,3,0,3
gerardo_cortijo,gerardo_cortijo,,0,0,0,0,0,0,0,0,0
julitri14,julitri14,,0,0,0,0,0,0,0,0,0
nmohorte,nmohorte,,0,0,0,0,0,0,0,0,0
Anya322000M,Anya322000M,,0,0,0,0,0,0,0,0,0
Keysight_EMEA,Keysight_EMEA,,0,0,0,0,0,0,0,0,0
mongadel,mongadel,,0,0,0,0,0,0,0,0,0
nlopezcenteno,nlopezcenteno,,0,0,0,0,0,0,0,0,0
JaviPuente1976,JaviPuente1976,,9,5,0,5,0,22,5,0,5
InsefeOficial,InsefeOficial,,0,0,0,0,0,0,0,0,0
MigracodeBCN,MigracodeBCN,,0,0,0,0,0,0,0,0,0
JoanPerello9,JoanPerello9,,0,0,0,0,0,0,0,0,0
soficalleprieto,soficalleprieto,,0,0,0,0,0,0,0,0,0
Marahersa,Marahersa,,13,0,2,2,0,26,0,2,2
BurriezaMateos,BurriezaMateos,,0,0,0,0,0,0,0,0,0
CEDDD_,CEDDD_,,0,0,0,0,0,0,0,0,0
FernandoMarLoz,FernandoMarLoz,,0,0,0,0,0,0,0,0,0
cabelrom,cabelrom,,3,0,3,3,0,38,0,3,3
jarevalo_FP,jarevalo_FP,,8,2,0,2,0,39,2,0,2
MariaSancheztw,MariaSancheztw,,16,2,0,2,0,40,2,0,2
Pacoboya,Pacoboya,,13,7,0,7,0,41,7,0,7
grandmilen,grandmilen,,0,0,0,0,0,0,0,0,0
selufnieto,selufnieto,,0,0,0,0,0,0,0,0,0
FdezLois,FdezLois,,0,0,0,0,0,0,0,0,0
JaumeJosa_T,JaumeJosa_T,,0,0,0,0,0,0,0,0,0
elmundoempresa,elmundoempresa,,0,0,0,0,0,0,0,0,0
allisonasecas,allisonasecas,,9,2,1,3,0,44,2,1,3
andres_pedreno,andres_pedreno,,1,5,1,6,0,46,5,1,6
DdVerguerac,DdVerguerac,,0,0,0,0,0,0,0,0,0
CCacin,CCacin,,0,0,0,0,0,0,0,0,0
louisemarliere,louisemarliere,,9,0,1,1,0,48,0,1,1
ipereda,ipereda,,0,0,0,0,0,0,0,0,0
PalomaHdezCer,PalomaHdezCer,,0,0,0,0,0,0,0,0,0
paulasanchons,paulasanchons,,0,0,0,0,0,0,0,0,0
jcarlos_reza,jcarlos_reza,,0,0,0,0,0,0,0,0,0
PODEMOSCARLOSIU,PODEMOSCARLOSIU,,6,0,2,2,0,51,0,2,2
Jesus_DeMendoza,Jesus_DeMendoza,,0,0,2,2,0,54,0,2,2
TomaLaPalabraVA,TomaLaPalabraVA,,0,0,0,0,0,0,0,0,0
rgtcgt,rgtcgt,,9,1,0,1,0,55,1,0,1
nefeerr,nefeerr,,6,4,1,5,0,56,4,1,5
mgarlic61,mgarlic61,,0,0,0,0,0,0,0,0,0
JoseMaPalomares,JoseMaPalomares,,9,1,0,1,0,57,1,0,1
magodsochi,magodsochi,,0,0,0,0,0,0,0,0,0
eufararu,eufararu,,0,0,0,0,0,0,0,0,0
sansejuventud,sansejuventud,,16,4,2,6,0,59,4,2,6
afcano13,afcano13,,0,0,0,0,0,0,0,0,0
roentgen66,roentgen66,,11,0,2,2,0,62,0,2,2
JoseA_Blanco,JoseA_Blanco,,3,2,2,4,0,84,2,2,4
yoly_m,yoly_m,,0,0,0,0,0,0,0,0,0
fjlobof,fjlobof,,0,0,0,0,0,0,0,0,0
ConfapaMadrid,ConfapaMadrid,,0,0,0,0,0,0,0,0,0
OFPIUGR,OFPIUGR,,0,0,0,0,0,0,0,0,0
soniapicon13,soniapicon13,,0,0,0,0,0,0,0,0,0
MoneyOak_ES,MoneyOak_ES,,1,2,9,11,0,207,2,9,11
eldigitalCLM,eldigitalCLM,,13,2,0,2,0,208,2,0,2
martinfd78,martinfd78,,0,1,0,1,0,209,1,0,1
CCAndalucia,CCAndalucia,,13,1,4,5,0,217,1,4,5
DavidPaezRod,DavidPaezRod,,4,0,2,2,0,219,0,2,2
Stefania_Rosca,Stefania_Rosca,,0,0,0,0,0,0,0,0,0
socib_icts,socib_icts,,0,0,0,0,0,0,0,0,0
alianza_ed,alianza_ed,,9,2,0,2,0,11,2,0,2
ReyesJustribo,ReyesJustribo,,0,0,0,0,0,0,0,0,0
SaludPublicaEs,SaludPublicaEs,,13,5,0,5,0,64,5,0,5
EuroFUE_UJI,EuroFUE_UJI,,16,1,0,1,0,220,1,0,1
Dr__Bravo,Dr__Bravo,,0,0,0,0,0,0,0,0,0
baziebi,baziebi,,0,0,0,0,0,0,0,0,0
GUTIMB,GUTIMB,,4,0,4,4,0,221,0,4,4
icynthia,icynthia,,12,1,0,1,0,222,1,0,1
silviamm,silviamm,,0,0,0,0,0,0,0,0,0
carlosgqm,carlosgqm,,0,0,0,0,0,0,0,0,0
silviarca15,silviarca15,,0,0,0,0,0,0,0,0,0
jcasades,jcasades,,0,0,0,0,0,0,0,0,0
tortacasar,tortacasar,,0,0,0,0,0,0,0,0,0
lelejerez,lelejerez,,6,0,2,2,0,225,0,2,2
J_Gomez_Moya,J_Gomez_Moya,,0,0,0,0,0,0,0,0,0
CsCoriaRio,CsCoriaRio,,0,0,0,0,0,0,0,0,0
nusagatero,nusagatero,,13,0,12,12,0,237,0,12,12
Manu19786,Manu19786,,0,0,0,0,0,0,0,0,0
MarMateos10,MarMateos10,,0,0,0,0,0,0,0,0,0
IBECBarcelona,IBECBarcelona,,0,0,0,0,0,0,0,0,0
digital_alerta,digital_alerta,,0,0,0,0,0,0,0,0,0
Ideanto,Ideanto,,0,0,0,0,0,0,0,0,0
yolamll,yolamll,,0,0,0,0,0,0,0,0,0
na0ta81,na0ta81,,4,0,2,2,0,240,0,2,2
montesoria,montesoria,,0,0,0,0,0,0,0,0,0
xabier_iglesias,xabier_iglesias,,0,0,0,0,0,0,0,0,0
JordiVinaixa,JordiVinaixa,,0,0,0,0,0,0,0,0,0
xavier0031,xavier0031,,0,0,0,0,0,0,0,0,0
CitcaSuncruise,CitcaSuncruise,,0,0,0,0,0,0,0,0,0
gijondigital,gijondigital,,8,0,2,2,0,242,0,2,2
ferrioasuncion,ferrioasuncion,,0,0,0,0,0,0,0,0,0
peritecno,peritecno,,0,0,0,0,0,0,0,0,0
maggar55,maggar55,,0,0,0,0,0,0,0,0,0
PlataformaGipu,PlataformaGipu,,0,0,0,0,0,0,0,0,0
retailactual,retailactual,,0,3,0,3,0,243,3,0,3
cemad_es,cemad_es,,9,0,2,2,0,244,0,2,2
peremayol,peremayol,,0,0,0,0,0,0,0,0,0
PGVillaluenga,PGVillaluenga,,13,0,2,2,0,246,0,2,2
segovia247,segovia247,,0,0,0,0,0,0,0,0,0
deustoDBS,deustoDBS,,3,0,2,2,0,249,0,2,2
unpulpoenlanube,unpulpoenlanube,,9,2,0,2,0,250,2,0,2
MARAJESSPATIO1,MARAJESSPATIO1,,4,0,2,2,0,252,0,2,2
familia_digital,familia_digital,,0,0,0,0,0,0,0,0,0
nilix,nilix,,0,0,0,0,0,0,0,0,0
CiudadanoIsma,CiudadanoIsma,,0,0,0,0,0,0,0,0,0
Aidy_CSGO,Aidy_CSGO,,0,0,0,0,0,0,0,0,0
metalindustri,metalindustri,,9,1,1,2,0,193,1,1,2
EDCastillayLeon,EDCastillayLeon,,0,0,0,0,0,0,0,0,0
HuaweiSpain,HuaweiSpain,,1,2,0,2,0,88,2,0,2
