Nombre;Direccion;Sector;Web;
'>ASSOCIACIO CATALANA CLUSTER DE LA INDUSTRIA DE L'ESPORT; MILÀ I FONTANALS, 14, 2º7ª, 08012, BARCELONA, BARCELONA ;Deporte;http://www.indescat.org;
'>ASSOCIACI√ì CATALANA D'EMPRESES DE BIOTECNOLOGIA; BALDIRI REIXACH 4-10, 08028, BARCELONA, BARCELONA ;Biotecnolog√≠a y Salud;http://www.cataloniabio.org;
'>ASSOCIACI√ì CATALANA D'INNOVACI√ì DEL SECTOR CARNI PORC√ç; TOMAS DE LORENZANA, 15, 17800, OLOT, GIRONA ;Agroalimentario;http://www.innovacc.cat;
'>ASSOCIACIO CLUSTER DE L'ENERGIA EFICIENT DE CATALUNYA; MILA I FONTANALS 14, 1 6 , 08012, BARCELONA, BARCELONA ;Medioambiente y Energ√≠a;http://www.clusterenergia.cat;
'>ASSOCIACIO CLUSTER DE LA INDUSTRIA D'AUTOMOCIO DE CATALUNYA; PG DE GRACIA 129, 08008, BARCELONA, BARCELONA ;Automoci√≥n;http://ciac.cat/es;
AEI CLUSTER DEL TURISMO DE EXTREMADURA; AVDA UNIVERSIDAD S/N EDIFICIO VALHONDO, 10003, CÁCERES, CÁCERES ;Turismo;http://www.clusterturismoextremadura.es;
AGRUPACIO CATALANA DEL TEXTIL I LA MODA; C. MILÀ I FONTANALS, 14-26, 1-6, 08012, BARCELONA, BARCELONA ;Textil y calzado;http://www.modacc.cat;
AGRUPACIO MOBLE INNOVADOR DE CATALUNYA; CALLE VALENCIA, 65, 43560, SÉNIA (LA), TARRAGONA ;H√°bitat;http://www.amicmoble.org;
AGRUPACI√ìN DE EMPRESAS INNOVADORAS DEL SECTOR DEL CAUCHO; CALLE SIRIO 18, 28007, MADRID, MADRID ;Materiales;http://www.asice.eu;
AGRUPACI√ìN EMPRESARIAL INNOVADORA  AEI  DEL SECTOR DE AUTOMOCI√ìN EN LA RIOJA; CALLE HERMANOS MOROY, Nº 8, 4ª PLANTA, 26001, LOGROÑO, LA RIOJA ;Automoci√≥n;http://www.aeiriojaautomocion.es;
AGRUPACION EMPRESARIAL INNOVADORA DEL SECTOR DE LAS TECNOLOGIAS DE LA INFORMACION Y DE LAS COMUNICACIONES DE LA RIOJA; CALLE, HERMANOS MOROY 8 4, 26005, LOGROÑO, LA RIOJA ;TIC;http://www.aertic.es;
AGRUPACI√ìN EMPRESARIAL INNOVADORA EN CIBERSEGURIDAD Y TECNOLOGIAS AVANZADAS; CAMPUS MIGUEL DELIBES. EDIFICIO PCUVA, MODULO 310. PASEO BELÉN, 9A, 47011, VALLADOLID, VALLADOLID ;TIC;http://www.aeiciberseguridad.es;
ARAGON INNOVALIMEN; C/ MARÍA DE LUNA 11, EDIFICIO CEEI, NAVE 6, 50018, ZARAGOZA, ZARAGOZA ;Agroalimentario;http://aragonalimentacion.org;
ASOC CLUSTER DO AUDIOVISUAL GALEGO; RÚA LOPE GÓMEZ DE MARZOA S/N. EDIFICIO FEUGA. CAMPUS SUR, 15705, SANTIAGO DE COMPOSTELA, A CORUÑA ;Media;http://www.clusteraudiovisualgalego.com;
ASOC VALENCIANA DE LA INDUSTRIA DE LA AUTOMOCION; P.I. JUAN CARLOS I, AVDA. DE LA FOIA, Nº 8, ED. 3, 1º, PTA. 2., 46440, ALMUSSAFES, VALENCIA/VALÈNCIA ;Automoci√≥n;http://www.avia.com.es;
ASOC. CLUSTER PARA EL USO EFICIENTE DEL AGUA; CALLE MARÍA DE LUNA 11, NAVE 6 (CEEI), 50018, ZARAGOZA, ZARAGOZA ;Medioambiente y Energ√≠a;http://www.zinnae.org;
ASOCIACION AERONAUTICA ARAGONESA; C/ MARIA DE LUNA 11 NAVE 6, 50018, ZARAGOZA, ZARAGOZA ;Aeron√°utico;http://www.aeronauticaragon.com;
ASOCIACION AGRUPACION EMPRESARIAL INNOVADORA DEL SECTOR PROVEEDOR DE BIENES Y SERVICIOS DEL SECTOR OLE√çCOLA; PARQUE CIENTÍFICO TECNOLÓGICO GEOLIT, CALLE SIERRA MORENA, MANZANA 11, EDIFICIO CTSA, PLANTA BAJA MÓDULO 1, 23620, MENGÍBAR, JAÉN ;Agroalimentario;http://www.inoleo.es;
ASOCIACI√ìN ATANA; CALLE ARRIETA, Nº 8 - 7ª PLANTA, 31002, PAMPLONA, NAVARRA ;TIC;http://www.atana.es;
ASOCIACI√ìN CANARIAS EXCELENCIA TECNOL√ìGICA; AVDA. ALCALDE JOSÉ RAMÍREZ BETHENCOURT Nº17 PALET EXPRESS CAJASIETE, 35004, LAS PALMAS DE GRAN CANARIA, LAS PALMAS ;TIC;http://www.canariasexcelenciatecnologica.com;
ASOCIACION CATALANA PARA LA INNOVACI√ìN Y LA INTERNACIONALIZACI√ìN DEL SECTOR DEL AGUA; PIC DE PEGUERA Nº15, 17003, GIRONA, GIRONA ;Medioambiente y Energ√≠a;http://www.cwp.cat;
ASOCIACION CLUSTER AGROALIMENTARIO DE NAVARRA; CALLE EMILIO ARRIETA 8, 7ª PLANTA, 31002, PAMPLONA, NAVARRA ;Agroalimentario;http://www.nagrifoodcluster.com;
ASOCIACION CLUSTER ALIMENTARIO DE GALICIA; EDIFICIO FEUGA. RUA LOPE GÓMEZ DE MARZOA S/N CAMPUS VIDA, 15705, SANTIAGO DE COMPOSTELA, A CORUÑA ;Agroalimentario;http://www.clusteralimentariodegalicia.org;
